ObjectID,TimeIndex,Direction,Node,Type
1,0,EW,SS,CK
1,0,NS,SS,NK
1,168,NS,IK,CK
1,2171,ES,ES,ES
2,0,EW,SS,HK
2,0,NS,SS,HK
2,2171,ES,ES,ES
3,0,EW,SS,CK
3,0,NS,SS,CK
3,2171,ES,ES,ES
4,0,EW,SS,HK
4,0,NS,SS,HK
4,2171,ES,ES,ES
5,0,EW,SS,EK
5,0,NS,SS,CK
5,2171,ES,ES,ES
6,0,EW,SS,CK
6,0,NS,SS,CK
6,2171,ES,ES,ES
7,0,EW,SS,CK
7,0,NS,SS,CK
7,2171,ES,ES,ES
8,0,EW,SS,CK
8,0,NS,SS,CK
8,2171,ES,ES,ES
9,0,EW,SS,CK
9,0,NS,SS,NK
9,324,NS,IK,CK
9,2171,ES,ES,ES
10,0,EW,SS,CK
10,0,NS,SS,NK
10,216,NS,IK,CK
10,2171,ES,ES,ES
11,0,EW,SS,HK
11,0,NS,SS,HK
11,2171,ES,ES,ES
12,0,EW,SS,HK
12,0,NS,SS,HK
12,2171,ES,ES,ES
13,0,EW,SS,HK
13,0,NS,SS,NK
13,228,NS,IK,HK
13,2171,ES,ES,ES
14,0,EW,SS,HK
14,0,NS,SS,HK
14,2171,ES,ES,ES
15,0,EW,SS,EK
15,0,NS,SS,CK
15,2171,ES,ES,ES
16,0,EW,SS,CK
16,0,NS,SS,CK
16,2171,ES,ES,ES
17,0,EW,SS,HK
17,0,NS,SS,NK
17,2171,ES,ES,ES
18,0,EW,SS,CK
18,0,NS,SS,CK
18,2171,ES,ES,ES